1;hone;hoʊn;заточувати;
2;residual;rɪˈzɪdʒ u əl;залишковий;
3;sympathetic;ˌsɪm pəˈθɛt ɪk;співчутливий;
4;wield;wild;володіти;
5;cushion;ˈkʊʃ ən;подушка, прокладка;
6;negligible;ˈnɛg lɪ dʒə bəl;незначний;
7;wool;wʊl;шерсть;
8;beak;bik;дзьоб;
9;coil;kɔɪl;котушка;
10;tumor;ˈtu mər, ˈtyu-;пухлина;
11;clamp;klæmp;зажим;
12;proclivity;proʊˈklɪv ɪ ti;схильність;
13;subcutaneous;ˌsʌb kyuˈteɪ ni əs ;підшкірний;
14;noggin;ˈnɒg ən;голова;
15;lesion;ˈli ʒən;ураження;
16;alienation;ˌeɪl yəˈneɪ ʃən;відчуження;
17;blaze;bleɪz;полумя, горіти;
18;prenatal;priˈneɪt l;передпологовий;
19;viral;ˈvaɪ rəl;вірусний;
20;warfare;ˈwɔrˌfɛər;війна, боротьба;
21;intimidate;ɪnˈtɪm ɪˌdeɪt;залякувати;
22;stepfather;ˈstɛpˌfɑ ðər;вітчим;
23;accuse;əˈkyuz;звинувачувати;
24;lucid;ˈlu sɪd;ясний;f,
25;thrilled;θrɪl;схвильований;
26;tendril;ˈtɛn drɪl;вусик;
27;atrocious;əˈtroʊ ʃəs;жахливий;
28;glove;;рукавичка;
29;biped;;двуногий;
30;abduction;æbˈdʌk ʃən;Викрадення;
31;peculiar;pɪˈkyul yər;своєрідний;
32;jog;;поштовх;
33;barely;ˈbɛər li;ледь;
34;nausea;ˈnɔ zi ə;нудота;
35;solely;;тільки;
36;prudent;ˈprud nt;розсудливий;
37;loon;;нероба;
38;laceration;ˌlæs əˈreɪ ʃən;Рвана рана;
39;callous;ˈkæl əs;бездушний, черствий;
40;sane;;розсудливий;
41;purge;pɜrdʒ;чищення;
42;tether;ˈtɛð ər;привязь, привязать (пасущееся животное);
43;urinate;ˈyʊər əˌneɪt;мочитися;
44;spleen;;селезінка, гнів;
45;vault;vɔlt;сховище;
46;moot;;спірний;
47;saw;;пила;
48;swatch;swɒtʃ;зразок тканини;
49;gulf war;;війна в перській затоці;
50;hang out;;тусуватися;
51;dare;dɛər;відважуватися, виклик;
52;recite;rɪˈsaɪt;декламувати, викладати;
53;supplements;;вітаміни;
54;vomit;ˈvɒm ɪt;блювати;
55;caterpillar;ˈkæt əˌpɪl ər,;гусениця;
56;assault;əˈsɔlt;напад, насильство;
57;to be deemed;;бути визнаним;
58;to stand trial;;постати перед судом;
59;spinal tap;;спинномозкова пункція;
60;slug;;слимак;
61;felony;ˈfɛl ə ni;кримінальний злочин;
62;suffice;səˈfaɪs;достатньо;
63;wiretap;;прослуховування;
64;kettle;;чайник;
65;confession;;визнання;
66;moron;;ідіот;
67;syllable;ˈsɪl ə bəl;звук, склад;
68;cranial;ˈkreɪ ni əl;черепний;
69;cavity;ˈkæv ɪ ti;порожнина;
70;vial;ˈvaɪ əl;флакон, пробірка;
71;fuse;fyuz;плавити;
72;speck;spɛk;крихта;
73;salvage;ˈsæl vɪdʒ;порятунок, рятувати;
74;wager;ˈweɪ dʒər;заключати парі;
75;contagion;kənˈteɪ dʒən;інфекція;
76;rogue;roʊg;шахрай;
77;remedy;ˈrɛm ɪ di;ліки, виліковувати;
78;jinx;;наврочити;
79;kin;;родичі;
80;baboon;;бабуїн;
81;seminal fluid;;насіння;
82;consolation;ˌkɒn səˈleɪ ʃən;розрада, втіха;
83;screw;skru;гвинт, крутити;
84;red tape;;бюрократизм, тяганина;
85;pelage;ˈpɛl ɪdʒ;волосяний прокрив, шерсть;
86;litter;ˈlɪt ər;виводок;
87;impatient;ɪmˈpeɪ ʃənt;нетерплячий;
88;gut;gʌt;черево;
89;conspire;kənˈspaɪər;діяти спільно, змовлятися ;
90;steep;stip;крутий;
91;custody;ˈkʌs tə di;варта, опіка;
92;sacrifice;ˈsæk rəˌfaɪs;жертва;
93;orifice;ˈɔr ə fɪs,;отвір;
94;malady;ˈmæl ə di;хвороба, недуга;
95;putrid;ˈpyu trɪd;гнильний;
96;funnel;ˈfʌn l;просочуватися;
97;attorney;dog;адвокат;
98;bowl;;чаша, кулька;
99;sweep;swip;прочищення, мести;
100;hollow;ˈhɒl oʊ;порожнистий;
101;grumpy;;сварливий, дратівливий;
102;pale;;блідий;
103;turntable;;програвач (програвач пластинок);
104;sealed;;герметичний;
105;deprive;dɪˈpraɪv;позбавляти, відбирати;
106;cannula;ˈkæn yə lə;катетер;
107;nasal;ˈneɪ zəl;носовий;
108;tympanic membrane;tɪmˈpæn ɪk;барабанна перетинка;
109;millipede;ˈmɪl əˌpid;багатоніжка;
110;feral;ˈfɪər əl;дикий;
111;digest;v. dɪˈdʒɛst, daɪ-, n. ˈdaɪ dʒɛst;засвоювати, переварювати;
112;sink;;раковина;
113;fence;fɛns;паркан;
114;prude;prud;ханжа;
115;hassle;ˈhæs əl;сутичка, бійка;
116;bovine;ˈboʊ vaɪn;бичачий;
117;shivering;ˈʃɪv ər;тремтіння;
118;indigenous;ɪnˈdɪdʒ ə nəs;місцевий;
119;claw;;кіготь;
120;bulky;;громіздкий;
121;canine;;собачий;
122;canvass;;аналізувати, досліджувати;
123;nasty;;противний, неприємний;
124;fang;;ікло, зуб;
125;viper;;гадюка, змія;
126;rip;;рвати;
127;motley;;різнорідний, строкатий;
128;raccoon;;єнот;
129;medevac;;санітарний;
130;stinger;;жало ;
131;rhinoceros;raɪˈnɒs ər əs;носоріг;
132;sandpaper;;наждачний папір;
133;sodium bicarbonate;;бікарбонат натрію;
134;maggot;; личинка (особенно мясной или сырной мухи);
135;larvae;; личинка;
136;scrape;;подряпина;
137;presumably;;імовірно;
138;gestate;;виношувати;
139;sewer;;колектор;
140;bait;;приманка, приманити;
141;maternal;;материнський;
142;lure;;приманка, нажива;
143;tinkle;;an act of urinating.;
144;ingest;;ковтати;
145;swing;;гойдалка, вертіти;
146;gruesome;;жахливий;
147;distract;;відволікати;
148;ergo;;отже;
149;corporeal;;тілесний, фізичний, матеріальний;
150;surveillance;sərˈveɪ ləns;спостереження;
151;bond;;зв'язок;
152;contagious;;заразливий;
153;shrimp;;креветка;
154;shallow;;невеликий, мілкий;
155;intestinal;;внутрішній, кишковий;
156;ursine;;ведмежий;
157;jaw;;щелепа;
158;excess;;надлишок;
159;cervical;ˈsɜr vɪ kəl;шийний;
160;vertebra (vertebrae);;хребець (хребці);
161;Treponema pallidum;; грам-негативна бактерія типу спірохет (Spirochaetes), що є збудником кількох захворювань людини, зокрема сифілісу;
162;saliva;;слина;
163;strain;streɪn;штам;
164;procure;;закуповувати, добувати;
165;rear;;задній;
166;provoke;;провокувати;
167;bizarre;;дивний;
168;absolve;;виправдовувати;
169;incendiary;ɪnˈsɛn diˌɛr i;запальний ;
170;combustion;kəmˈbʌs tʃən;горіння, спалювання;
171;coy;;скромний;
172;bully;ˈbʊl i;хуліган, залякувати;
173;spark;;іскра;
174;testimony;;свідоцтво, доказ;
175;floss;;зубочистка;
176;excite;;збуджувати;
177;anxiety;æŋˈzaɪ ɪ ti;тривога;
178;impunity;ɪmˈpyu nɪ ti ;безкарність;
179;forensic;;судовий;
180;rib cage;;грудна клітка;
181;spurn;;зневага, відштовхувати;
182;shimmer;;мерехтіння;
183;curtain;ˈkɜr tn;завіса;
184;desist;;утримуватися;
185;custard;;Заварний крем;
186;severe;səˈvɪər;суворий;
187;indulge;;балувати, приносити задоволення;
188;efficacy;ˈefikəsē  ;Ефективність;
189;grisly;ˈgrizlē;жахливий;
190;macabre; ;похмурий;
191;shred;;клаптик;
192;mop;;швабра, мити;
193;neat;nēt;акуратний;
194;torque;tôrk;момент обертання;
195;farthest;ˈfɑr ðɪst ;дальній, найвіддаленіший;
196;skid;;занос ;
197;cuffing;;одягати наручники;
198;colonel;ˈkərnl;полковник;
199;pork;;свинина;
200;rind;rīnd (райнд);шкіра, кора, оболонка;
201;warrant;ˈwôrənt;ордер;
202;womb;wum;матка;
203;chatter;;балаканина;
204;nude;;голий;
205;acute;;гострий;
206;cane;;палиця;
207;perp;perpetrator;злочинець;
208;sloppy;ˈsläpē (слаппі);мокрий, сирий, неакуратний;
209;pride;;гордитися;
210;figment;;вигадка;
211;glow;;світло, відблиск;
212;temple;;висок, храм;
213;salvia;ˈsæl vi ə ;шавлія;
214;slippers;;тапки;
215;syringe;səˈrinj,ˈsirinj;шприц;
216;grasp;grasp;розуміти або хапати;
217;ally;;союзник;
218;filament;ˈfiləmənt;нитка;
219;ascertain;ˌasərˈtān;зясовувати;
220;cerebral cortex;;кора головного мозку;
221;smuggling;;контрабанда;
222;vest;;жилет;
223;gruff;;грубий;
224;jumble; ;безлад, штовханина, збовтувати;
225;siphon off;;відкачувати;
226;rift;;тріщина, розколюватися;
227;intact;inˈtakt;неушкоджений;
228;poke;;пхати, штовхати;
229;taunt;tônt;насмішка;
230;distraught;disˈtrôt;збентежений (deeply upset and agitated);
231;overwhelming;ˌōvərˈ(h)welmiNG;незліченний, величезний (very great in amount);
232;soldering;;пайка;
233;surveillance;sərˈvāləns;спостереження;
234;adjacent;əˈdʒeɪ sənt;суміжний, прилеглий;
235;stripe of inconceivable;;смуга немислимого;
236;straw;;соломинка;
237;hostage;ˈhɒs tɪdʒ;заручник;
238;cadaver;;труп;
239;subliminal;;підсвідомий;
240;helmet;;шолом;
241;puberty;;статева зрілість;
242;pillar;;стовп;
243;etch;;гравірувати;
244;itinerary;aɪˈtɪn əˈrɛr i;маршрут, путівник;
245;niece;;племінниця;
246;amusement;;розвага, забава;
247;gag;;кляп;
248;messy;;брудний;
249;quarrel;ˈkwɔr əl;сварка;
250;merchant;;торговець;
251;ingenious;ɪnˈdʒin yəs ;винахідливий;
252;sunken;;затонулий;
253;vessel;;судно;
254;haystack;;стіг сіна;
255;illicit;;незаконний;
256;enzyme;;фермент;
257;sanitizer;;дезинфікуючий засівб;
258;dignity;;гідність;
259;noodles;;локшина;
260;asylum;;притулок, психлікарня;
261;treason;ˈtri zən ;зрада;
262;possessed;;одержимий;
263;seizures;ˈsi ʒər ;судоми;
264;navy;;військов-морський флот;
265;coolant;;охолоджуюча рідина;
266;vent;;вхідний отвір, випускати;
267;contamination;;забруднення;
268;strap;;ремінь, лямка;
269;tingle;;поколювати, свербіти;
270;harbor;;порт, гавань;
271;coax;;переконувати, виманити;
272;cowardice;ˈkaʊ ər dɪs ;боягузтво;
273;autopsy;;розтин;
274;preliminary;;попередній;
275;abruptly;;різко, несподівано;
276;germline;;зародок, ембріон;
277;census;ˈsɛn səs ;перепис;
278;restorative;;зміцнюючий, тонізуючий;
279;fondly;;ніжнО, ласкаво;
280;humiliate;hyuˈmɪl iˌeɪt ;принижувати;
281;circumnavigation;;кругосвітнє плавання;
282;behold;;дивитися, помічати;
283;sack;sæk ;мішок, бурдюх;
284;endeavor;;намагатися, зусилля;
285;revoke;;анулювати;
286;lo and behold;;і ось;
287;coddle;;розпещувати, мазати;
288;decease;;смерть, померти;
289;rupture;;розрив;
290;swelling;;набряк;
291;midst;;посеред;
292;pajamas;;піжама;
293;rabies;;сказ;
294;eradication;;знищення;
295;swab;;тампон;
296;contamination;;забруднення;
297;wretched;;нещасний;
298;scurvy;;цинга;
299;pustulous;;гнійний;
300;ash;;зола, попіл;
301;horseradish;;хрін;
302;glycoside;;глікозид;
303;decent;;пристойний;
304;Vitreous humour;;Склоподібне тіло;
305;suffocate;;душити, задихатися;
306;perish;;гинути, здихати;
307;cinnamon;сінамен;кориця;
308;seahorse;;морський коник;
309;spree;;веселощі, гульня;
310;downright homey;;зовсім по домашньому;
311;confront;;протистояти;
312;uphold;;підтримувати;
313;lest;;аби не;
314;oppress;;пригнічувати;
315;destine;;призначати;
316;scour;;чистити, мити;
317;prank;;витівка, пустощі;
318;rubbing;;тертя;
319;treadmill;;бігова доріжка;
320;neocortex;;кора головного мозку;
321;pretzel;;кренделик;
322;abuse;;зловживати;
323;expose;;піддавати;
324;nut;;гайка;
325;pus;;гній;
326;malignant;;злоякісний;
327;stir;;a slight physical movement;
328;insofar;;оскільки;
329;jeopardize;;ризикувати;
330;tumultuous;;галасливий;
331;brat;;дитина;
332;talk out of it;;відмовити віц цього;
333; filth;;бруд;
334;concise;;Короткий, стислий;
335;propel;;рухати, штовхати;
336;fold;;згинати, обгинати, зморшка;
337;absorb;;поглинати, вбирати;
338;apprehend;;затримувати;
339;grief;;горе;
340;epiphany;;богоявлення;
341;realm;;область, галузь, сфера;
342;repercussions;;наслідки;
343;fuse;;запобіжник;
344;corp ;;труп;
345;rod;;стрижень;
346;mend;;виправляти, лагодити;
347;drown;;тонути;
348;wind up;;змотуватися, закінчувати;
349;larynx;;гортань;
350;possession;;володіння;
351;vile;;низький, підлий;
352;con man;;шахрай;
353;proceed;;продовжувати;
354;tempting;;спокусливий;
355;tempt;;спокушати;
356;pique;; збуджувати, розпалювати;
357;coffin;;труна;
358;narrative;;розповідь;
359;rug;;килим, плед;
360;dew;;роса;
361;starch;;крохмаль;
362;desperate;;відчайдушний, доведений до розпачу;
363;precinct;;a district of a city or town as defined for police purposes.;
364;barbaric;;варварський;
365;collateral;;додатковий, побічний;
366;foster;;сприяти;
367;foresee;;передбачати;
368;jeopardy;;небезпека;
369;insight;;розуміння (чогось);
370;adjunct;;a thing added to something else as a supplementary rather than an essential part;
371;penetrate;;проникати;
372;anything but peaceful;;які завгодно, але не мирні;
373;flaw;;дефект;
374;eminent;;видатний;
375;odd;;дивний;
376;subtle;;тонкий;
377;absolete;;застарілий;
378;preposterous;prɪˈpɒs tər əs;безглуздий;
379;shore;;берег;
380;birch;burch;береза;
381;placate;ˈpleɪ keɪt,;задобрювати;
382;disguise;dɪsˈgaɪz;маскуватися;
383;guise;gaɪz;вигляд;
384;consistently;kənˈsɪs tənt ;послідовно;
385;impostor;ɪmˈpɒs tər ;самозванець;
386;immerse;ɪˈmɜrs ;занурюватися;
387;plateau;plæˈtoʊ ;плато, високогірря;
388;apprise;əˈpraɪz;інформувати, сповіщати;
389;chamber;ˈtʃeɪm bər;камера, палата;
390;amusing;əˈmyu zɪŋ;кумедний;
391;swerve;swɜrv;відхилятися;
392;abrupt;əˈbrʌpt ;гострий, крутий, різкий;
393;liability;;відповідальність;
394;flatten;ˈflæt n;вирівнювати, розплющувати;
395;brim;brɪm ;край, поле (edge);
396;chamomile;ˈkæm əˌmaɪl,;ромашка;
397;tin;tɪn;банка, бляшанка;
398;customary;;звичайний;
399;asparagus;əˈspær ə gəs ;спаржа;
400;NYPD;;New York Police Department;
401;DOD;;Department of Defence;
402;mole;moʊl;кріт;
403;revive;rɪˈvaɪv ;відроджувати;
404;spouse;spaʊs;чоловік або дружина у подружній парі;
405;tickle;ˈtɪk əl ;лоскотати, догоджати;
406;spine;spaɪn ;хребет;
407;salvage;ˈsæl vɪdʒ ;рятувати;
408;rump;rʌmp;крижі;
409;lobby;ˈlɒb i;вестибюль;
410;lingering symptons;ˈlɪŋ gər;затяжні симптоми;
411;mood swings;;перепади настрою;
412;dossier;ˈdɒs iˌeɪ;досьє;
413;looters;lut;мародери;
414;breach;britʃ ;пробоїна, розрив;
415;resuscitate;rɪˈsʌs ɪˌteɪt ;оживляти;
416;akin;əˈkɪn;схожий, близький;
417;revolt;rɪˈvoʊlt ;повстання;
418;outcry;ˌaʊtˈkraɪ;публічне вираження протесту;
419;popsicle;ˈpɒp sɪ kəl,;ескімо;
420;mold;moʊld;форма;
421;hectic;ˈhɛk tɪk ;неспокійний;
422;hunch;hʌntʃ;передчуття;
423;heist;haɪst;пограбування;
424;imminent;ˈɪm ə nənt ;неминучий;
425;dormant;;сплячий;
426;reel;ril ;котушка;
427;wretch;rɛtʃ ;негідник;
428;resilient;rɪˈzɪl yənt,;пружний, еластичний;
429;hubris;ˈhyu brɪs,;зарозумілий;
430;Серія 7;;;
431;redemption;rɪˈdɛmp ʃən ;спокута;
432;sorrow;ˈsɒr oʊ;журба, печаль;
433;exaltation;ˌɛg zɔlˈteɪ ʃən, ;піднесення;
434;snatch;snætʃ ;хапати;
435;residue;ˈrɛz ɪˌdu,;залишок, остача;
436;sucrose;ˈsu kroʊs ;сахароза;
437;deteriorate;dɪˈtɪər i əˌreɪt ;погіршувати, погіршуватися;
438;attic;ˈæt ɪk ;горище;
439;cleansing;klɛnz;очищаючий;
440;wile;waɪl ;хитрість;
441;temptress;ˈtɛmp trɪs ;спокусниця;
442;carnal;ˈkɑr nl ;плотський, хтивий;
443;inflict;ɪnˈflɪkt;завдавати, заподіяти;
444;rigor mortis;;трупне задубіння;
445;swill;swɪl ;Пійло, помиї;
446;revelation;ˌrɛv əˈleɪ ʃən ;вияв, відкриття;
447;intense;ɪnˈtɛns ;вразливий;
448;regimen;ˈrɛdʒ ə mən;режим;
449;serum;ˈsɪər əm;сироватка;
450;stiffness;stɪf;жорсткість, одубілість;
451;diminish;dɪˈmɪn ɪʃ;зменшувати;
452;serene;;безтурботний;
453;despondent;;похмурий, пригнічений, сумний;
454;simpleton;;простак;
455;mundane;;земний, світський;
456;confounded;;осоромлені;
457;confound;;бентежити, змішувати;
458;leery;;хитрий;
459;prominent;;великий, видатний;
460;rash;;висип;
461;con;;афера, обман;
462;reticent;;мовчазний;
463;reciprocal;;взаємний, обопільний;
464;pursue;;переслідувати;
465;shed;;лити, пролити;
466;outlook;;краєвид, прогноз;
467;interrogate;;допитувати;
468;beetle;;жук;
469;stove;;плита, піч;
470;slip;;ковзати;
471;cupid;;купідон;
472;tenant;;орендар;
473;vortex;;вихор, вир;
474;vulnerable;;вразливий;
475;fib;;вигадка, брехня;
476;resort;;засіб,;
477;merit;;заслуга;
478;entanglement;;заплутаність ; 
479; presumptuous;;самовпевнений, безцеремонний;
480;explicable;;зясовано;
481;burrow;;рити;
482;mop ;;швабра;
483;decay;;розпад;
484;abscond;;ховатися, тікати;
485;compassionate;;співчутливий;
486;uncanny;;надприродний, небезпечний;
487;stow;;pack or store (an object) carefully and neatly in a particular place.;
488;commiserate;;співчувати;
489;disrupt;;руйнувати, розривати;
490;abdominal;;черевний;
491;circumference;;округа, the enclosing boundary of a curved geometric figure, especially a circle.;
492;orderly;;санітар;
493;feather;;перо;
494;ruffle;;кошлатити;
495;ruffle the feathers;;зкуйовджувати піря;
496;ligament;;звязка;
497;supple;;гнучкий;
498;duly;;належним чином;
499;bladder;;сечовий міхур;
500;obstetrician;;акуреш;
501;latch;;зачиняти на засув;
502;jolt;;поштовх, тряска;
503;maze;;лабіринт;
504;cogent;;переконливий;
505;crotch;;промежина, розвилка;
506;swirl;;вихор;
507;locust;;сарана;
508;spooked;;налякати;
509;barn;;сарай;
510;bulletin;;бюлетень, періодичне видання;
511;warp;;викривлення;
512;decimate;;знищувати;
513;desiccate;;висихати, висушувати;
514;blight;;іржа, псувати, руйнувати;
515;nugget;;самородок;
516;emanate;;виходити, випромінювати;
517;allegiance;;вірність, лояльність;
518;selfish;;егоїст;
519;selfishness;;егоїзм;
520;chapel;;каплиця;
521;solace;;розрада, втіха;
522;spare;;пощадити, жаліти, оберігати;
523;rotting;;гниття;
524;treason;;зрада;
525;surge;;прилив, велика хвиля;
526;crowbar;;лом;
527;pry;;вивідувати, цікавитися, важіль;
528;kite;;паперовий змій;
529;inextricable;;impossible to disentangle or separate;
530;truce;;перемиря;
531;accord;;відповідність;
532;cereal;;зерновий;
533;dome;;куплю;
534;clavicle;;ключиця;
535;vile;;підлий;
536;loathsome;;огидний, бридкий;
537;contemptible;;мерзенний. жалюгідний;
538;glean;;extract (information) from various sources;
539;fungi;;грибок;
540;eradicate;;викорінювати;